video_id	label_L0_raw	label_L0	label_L1_subject	label_L1_action	label_L2	label_L3
zpWuikVorYg_000032	elk bugling	elk bugling	wolf howling	elk screaming	air raid siren	dog barking
gEvCUcZ6w88_000030	female speech, woman speaking	woman speaking	man speaking	woman humming	violin playing	basketball bounce
JIemsK_0lXc_000364	playing bass drum	playing bass drum	person stomping feet	bass drum thumping	heartbeat	people giggling
RgyqhpOJFM4_000030	playing cello	playing cello	playing violin	scratching cello	sawing wood	people battle cry
3MUeg3nD2OU_000120	playing acoustic guitar	playing acoustic guitar	playing ukulele	tuning acoustic guitar	playing xylophone	mynah bird singing
iUtE4nRvBsM_000040	people coughing	people coughing	dog coughing	people hiccuping	engine sputtering	elephant trumpeting
1cxvg7qu0G0_000070	lighting firecrackers	lighting firecrackers	machine gun firing	firecrackers popping	breaking glass	cuckoo bird calling
16CvcIXIjzQ_000332	chinchilla barking	chinchilla barking	guinea pig squeaking	chinchilla squeaking	squeaky toy	wind noise
gg6yoeBoYxg_000000	children shouting	children shouting	protesters chanting	children singing	geese honking	chopping food
ORaz32CQ29k_000130	coyote howling	coyote howling	wolf howling	coyote whining	violin playing	playing vibraphone
EIzBD62ja8E_000030	playing acoustic guitar	playing acoustic guitar	playing harp	tapping on guitar body	playing xylophone	bird wings flapping
XR7vOriQ9VY_000194	airplane	airplane taxiing	truck engine running	airplane cabin noise	waterfall roaring	bird squawking
ZoameGbMVt8_000110	chainsawing trees	chainsawing trees	factory machine running	chainsaw hitting metal	heavy metal music	civil defense siren
4Q1DDOpej1o_000000	male singing	male singing	female singing	male whistling	violin playing	mouse clicking
RDG7jY7P_8M_000088	penguins braying	penguins braying	geese honking	penguins squawking	crowd of people shouting	orchestra
m4emitvY_Dg_000178	tractor digging	tractor digging	bulldozer pushing	tractor plowing	rockslide	tap dancing
UyCw7pCgYg8_000055	tap dancing	tap dancing	horse trotting	typing on keyboard	rain on tin roof	bathroom ventilation fan running
LEUkbkdBupE_000004	playing castanets	playing castanets	playing bagpipes	accordion riffing	typing on keyboard	lighting firecrackers
IYllzXfvkmY_000020	people coughing	people coughing	dog barking	people clearing throat	starting engine	wind noise
bxKdKUZP41Y_000030	playing zither	playing zither	playing harp	typing on typewriter	babbling brook	playing tympani
Iy2HaWAAnvQ_000173	train whistling	train whistling	bus honking	train horn sounding	goose honking	mouse pattering
JFJuEOZx1K4_000160	playing bass guitar	playing bass guitar	playing cello	strumming bass guitar	helicopter hovering	roller coaster running
mSHxFybELNY_000030	playing cornet	playing cornet	woman singing	man whistling	siren wailing	people humming
K0Y8oGYR7lw_000010	disc scratching	disc scratching	saw cutting	disc stuttering	washboard scratching	airplane flyby
e5aCQbqUY9I_000000	donkey, ass braying	donkey braying	rooster crowing	donkey coughing	engine sputtering	foghorn
fqZlpAZ4RkQ_000193	chimpanzee pant-hooting	chimpanzee pant-hooting	howler monkey howling	chimpanzee groaning	foghorn blowing	playing vibraphone
3H3261x-QgI_000030	goat bleating	goat bleating	dog barking	goat stomping	tap dancing	playing cymbal
v_oFiTzjGN8_000010	skidding	skidding	train wheels screeching	car alarm sounding	scraping metal	people humming
SJrVTQPbMXs_000016	fly, housefly buzzing	housefly buzzing	bee buzzing	housefly fluttering	electric razor buzzing	firing cannon
ha8lvNZ7n7c_000046	playing oboe	playing oboe	playing clarinet	person whistling	dialing on telephone	mosquito buzzing
GvRM_UnjJoE_000030	horse clip-clop	horse clip-clop	person jogging	horse stomping	bouncing basketball	playing congas
ekxnklqMf8c_000048	missile launch	missile launch	artillery firing	missile exploding	bomb exploding	cuckoo bird calling
49PCE6AXrGw_000030	cow lowing	cow lowing	bull bellowing	cow groaning	foghorn blowing	civil defense siren
g3J2VYx8zYE_000060	train whistling	train running	horse galloping	train chugging	typewriter typing	playing mandolin
z6pCw302VWc_000098	alarm clock ringing	alarm clock ringing	smoke detector beeping	alarm clock beeping	truck reversing	coyote howling
6wRJg4fbELE_000196	bull bellowing	bull bellowing	lion roaring	bull groaning	foghorn blowing	playing flute
HmqjTIXdF5Y_000004	penguins braying	penguins braying	donkeys braying	penguins squawking	squeaky hinge	playing didgeridoo
zrrM6Qg2Dwg_000030	playing steelpan	playing steelpan	playing xylophone	typing on keyboard	tapping on glass bottles	people eating crisps
B6V6cA5p08M_000083	people belly laughing	people belly laughing	kookaburra laughing	people coughing	engine misfiring	canary calling
1F9zCsJyw6k_000230	police car (siren)	police car siren	ambulance siren	police car alarm	playing synthesizer	sea waves
_QsEc34hEik_000053	tap dancing	tap dancing	horse trotting	stomping feet	typewriter typing	volcano explosion
kpBkoalXnXM_000228	people gargling	people gargling	water boiling	person snoring	small engine idling	door slamming
xcYIvw3nMLE_000000	tractor digging	tractor digging	bulldozer operating	tractor plowing	avalanche rumbling	playing lacrosse
eA1dUOMkkvM_000000	smoke detector beeping	smoke detector beeping	alarm clock beeping	smoke detector chirping	squeezing rubber ducky	children shouting
fn41SZiLTUQ_000083	opening or closing car electric windows	car window opening	electric drill running	car window squeaking	hornet buzzing	woodpecker pecking tree
dYL0n0ZJxkA_000039	train whistling	train whistling	ship horn blowing	train horn blowing	elephant trumpeting	people sneezing
z6oOz1AYk7Y_000041	smoke detector beeping	smoke detector beeping	fire alarm beeping	smoke detector buzzing	cricket chirping	playing glockenspiel
URtpQZsUmBY_000030	cattle, bovinae cowbell	cowbell	goat bell	cow kicking bucket	wind chimes	ice cracking
qYjhJeSVJ2A_000030	singing bowl	singing bowl	wine glass ringing	singing bowl humming	feedback hum	chainsawing trees
052VMqTM4Xs_000000	donkey, ass braying	donkey braying	seal barking	donkey coughing	wood saw sawing	cap gun shooting
PfF-ishRsno_000048	playing bongo	playing bongo	playing conga	slapping bongo	tapping on table	opening or closing car doors
P5tsRM1iokA_000030	playing steel guitar, slide guitar	playing steel guitar	playing synthesizer	man humming	sharpening knife	people slapping
Bg7_qkxGkAA_000020	woodpecker pecking tree	woodpecker pecking	typewriter typing	woodpecker drumming	hammering nails	children shouting
wjLClGwjeIU_000114	airplane flyby	airplane flyby	train passing	airplane taking off	waterfall roaring	orchestra
_Zl_z4n_T9M_000471	playing drum kit	playing drum kit	drum machine playing	banging on pots and pans	hammering nails	crow cawing
_r--eecSZRk_000024	airplane flyby	airplane flyby	race car passing	airplane engine roaring	avalanche roaring	playing mandolin
eu_Ehoag0Vg_000244	people booing	people booing	waterfall roaring	people cheering	jet engine roaring	people humming
39rXWSXGOyo_000080	cat purring	cat purring	small engine idling	cat snoring	massaging device vibrating	sailing
odDT-H4NqXc_000022	lathe spinning	lathe spinning	grinding machine running	lathe grinding	subway wheels screeching	playing gong
e_ySE_yqUyg_000130	electric shaver, electric razor shaving	electric shaver	hair clipper buzzing	electric shaver humming	bee buzzing	forging swords
dyFoyYMZu-E_000508	lip smacking	lip smacking	dog eating	kissing	stirring thick soup	playing harmonica
IkUsSY47oBk_000020	people babbling	people babbling	monkey chattering	people whispering	radio tuning	playing electronic organ
PdLEZFUyy84_000095	penguins braying	penguins braying	donkey braying	penguins squawking	starting chainsaw	male singing
XBMeUqtyXpM_000030	singing choir	singing choir	audience singing	choir humming	string orchestra	people eating noodle
SJVuopldMyU_000030	bird chirping, tweeting	owl hooting	dog barking	owl cooing	knocking on wooden door	cheetah chirrup
bl5PHVntD70_000009	fly, housefly buzzing	housefly buzzing	bee buzzing	housefly whining	electric razor running	gibbon howling
FbwgXeLSRTE_000002	wood thrush calling	wood thrush calling	cricket chirping	wood thrush pecking	bicycle bell ringing	vacuum cleaner cleaning floors
urZASbmHOO8_000130	machine gun shooting	machine gun shooting	jackhammer drilling	machine gun sputtering	staple gun firing	people battle cry
vuGwgfWdi5Q_000000	gibbon howling	gibbon howling	dog barking	gibbon laughing	police siren	forging swords
MYxhRD4RVmQ_000010	vacuum cleaner cleaning floors	vacuum cleaner	hair dryer running	vacuum cleaner humming	spaceship hovering	sharpen knife
97IV2XK2l3U_000000	ice cream truck, ice cream van	ice cream truck	music box playing	ice cream truck alarm	video game music	playing mandolin
kEnOc-apG_o_000078	beat boxing	beat boxing	drum machine playing	scat singing	machine gun firing	people finger snapping
f1Z-HuZ-_ZA_000030	dog barking	dog barking	bird chirping	dog coughing	squeaky toy	zebra braying
61AWnBVuJL0_000040	people sobbing	people sobbing	puppy whining	people screaming	ambulance siren	mouse pattering
mSlE2F9N-8g_000030	singing bowl	singing bowl	church bell ringing	singing bowl chiming	tapping on wine glasses	playing bassoon
mEslZvugQCc_000030	male speech, man speaking	man speaking	woman singing	man humming	cello playing	cat caterwauling
TRvyzeR1xzI_000190	playing congas	playing congas	playing bongos	slapping table	knocking on door	opening or closing car electric windows
CCX_4cW_SAU_000000	subway, metro, underground	subway	roller coaster	subway braking	wind howling	bird wings flapping
Zgogkej7gHg_000274	sheep bleating	sheep bleating	goats bleating	sheep coughing	babies crying	playing badminton
Bg2XkNb5LZE_000140	playing french horn	playing french horn	playing trumpet	scat singing	squeaky toy	playing table tennis
as7MhTe961k_000170	playing saxophone	playing saxophone	playing violin	man whistling	siren wailing	people farting
c4r8Kd6Q1n8_000008	airplane flyby	airplane flyby	helicopter flyby	airplane engine roaring	express train passing	cattle mooing
Mqlg9NYMidw_000011	air conditioning noise	air conditioning noise	vacuum cleaner noise	air conditioning humming	static noise	metronome
5i5ZKyhw_gg_000113	opening or closing car electric windows	car door closing	house door closing	hitting car door	punching a bag	playing badminton
UqtPREndv_0_000000	people eating crisps	people eating crisps	dog eating kibble	crushing dry leaves	paper crumpling	metronome
PaZ4aVEsPsE_000019	playing violin, fiddle	playing violin	playing cello	violin squeaking	sawing wood	striking bowling
m-FO9gFY5Go_000030	people hiccup	people hiccuping	pig oinking	person coughing	squeaky toy	playing steelpan
KuFurXDu4l8_000000	people marching	marching band	crowd cheering	marching band drumming	train horn blowing	sea lion barking
RnXiQh8x--c_000126	telephone bell ringing	telephone bell ringing	fire alarm sounding	telephone bell buzzing	circular saw cutting	elk bugling
o1psbzO1YPU_000065	fly, housefly buzzing	housefly buzzing	drone flying	housefly humming	electric shaver running	people eating crisps
DymSRUrjT5c_000560	using sewing machines	sewing machine	tattoo machine buzzing	sewing machine jamming	geiger counter clicking	elephant trumpeting
zey5f-NjbtE_000201	people giggling	people giggling	hyena laughing	people crying	engine sputtering	people belly laughing
M1P1xla8rg0_000000	playing tambourine	playing tambourine	shaking maracas	shaking box of nails	shaking spray can	warbler chirping
84JbG7gFceA_000007	playing castanets	playing castanets	tap dancing	snapping fingers	typewriter typing	people eating apple
7GZdzd_wcBg_000230	fireworks banging	fireworks exploding	cannon firing	fireworks bursting	gunshot	playing zither
UKgZCUgOSfo_000062	warbler chirping	warbler chirping	cricket chirping	warbler chattering	geiger counter clicking	playing tabla
gklbB7TYoK4_000030	baby laughter	baby laughter	monkey chattering	baby squealing	squeezing rubber toy	playing glockenspiel
liZ8HrN_mKQ_000190	dog bow-wow	dog barking	seal barking	dog coughing	chopping wood	mouse pattering
Fz-dxPOWP58_000038	baby crying	baby crying	kitten mewing	baby whimpering	rusty hinge squeaking	electric grinder grinding
IL3ThGKdOMk_000221	tractor digging	tractor digging	truck engine idling	tractor engine idling	steam train idling	telephone bell ringing
MM78BP5nkUs_000417	lip smacking	lip smacking	dog eating	chewing gum	squishing slime	squishing water
9e6oA02wk94_000020	singing bowl	singing bowl	rubbing wine glass	singing bowl humming	squeaky wheel	church bell ringing
